year,a3,a2,name,edu_level,category,group,value,class
2011,BEN,bj,Benin,Tertiary Education,Overall,Overall,0.351019948720932,Public
2009,BWA,bw,Botswana,No Education,Overall,Overall,0.132068604230881,Private
2015,BWA,bw,Botswana,No Education,Overall,Overall,0.107018366456032,Private
2009,BWA,bw,Botswana,No Education,Overall,Overall,0.0570564679801464,Public
2015,BWA,bw,Botswana,No Education,Overall,Overall,0.0694120451807976,Public
2009,BWA,bw,Botswana,Primary Education,Overall,Overall,0.216690942645073,Private
2015,BWA,bw,Botswana,Primary Education,Overall,Overall,0.182824522256851,Private
2009,BWA,bw,Botswana,Primary Education,Overall,Overall,0.155595287680626,Public
2015,BWA,bw,Botswana,Primary Education,Overall,Overall,0.121004216372967,Public
2009,BWA,bw,Botswana,Secondary Education,Overall,Overall,0.522035300731659,Private
2015,BWA,bw,Botswana,Secondary Education,Overall,Overall,0.544990003108978,Private
2009,BWA,bw,Botswana,Secondary Education,Overall,Overall,0.386155396699905,Public
2015,BWA,bw,Botswana,Secondary Education,Overall,Overall,0.362417042255402,Public
2009,BWA,bw,Botswana,Tertiary Education,Overall,Overall,0.129205137491226,Private
2015,BWA,bw,Botswana,Tertiary Education,Overall,Overall,0.165167093276978,Private
2009,BWA,bw,Botswana,Tertiary Education,industry,Education,0.552761077880859,Private
2009,BWA,bw,Botswana,Tertiary Education,industry,Health,0.478945821523666,Private
2009,BWA,bw,Botswana,Tertiary Education,occupation,Medical workers,1,Private
2009,BWA,bw,Botswana,Tertiary Education,occupation,Teachers,0.881364107131958,Private
2009,BWA,bw,Botswana,Tertiary Education,Overall,Overall,0.401192843914032,Public
2015,BWA,bw,Botswana,Tertiary Education,Overall,Overall,0.447166681289673,Public
2009,BWA,bw,Botswana,Tertiary Education,industry,Education,0.748898446559906,Public
2009,BWA,bw,Botswana,Tertiary Education,industry,Health,0.458427935838699,Public
2009,BWA,bw,Botswana,Tertiary Education,industry,Public Administration,0.325933694839478,Public
2009,BWA,bw,Botswana,Tertiary Education,occupation,Medical workers,0.860110521316528,Public
2009,BWA,bw,Botswana,Tertiary Education,occupation,Teachers,0.680879294872284,Public
2003,BFA,bf,Burkina Faso,No Education,Overall,Overall,0.377892076969147,Private
2009,BFA,bf,Burkina Faso,No Education,Overall,Overall,0.34539732336998,Private
2014,BFA,bf,Burkina Faso,No Education,Overall,Overall,0.352545410394669,Private
2003,BFA,bf,Burkina Faso,No Education,Overall,Overall,0.0647138357162476,Public
2009,BFA,bf,Burkina Faso,No Education,Overall,Overall,0.0469003170728683,Public
2014,BFA,bf,Burkina Faso,No Education,Overall,Overall,0.117127232253551,Public
2003,BFA,bf,Burkina Faso,Primary Education,Overall,Overall,0.488221615552902,Private
2009,BFA,bf,Burkina Faso,Primary Education,Overall,Overall,0.476664692163467,Private
2014,BFA,bf,Burkina Faso,Primary Education,Overall,Overall,0.480107992887497,Private
2003,BFA,bf,Burkina Faso,Primary Education,Overall,Overall,0.272981077432632,Public
2009,BFA,bf,Burkina Faso,Primary Education,Overall,Overall,0.363454878330231,Public
2014,BFA,bf,Burkina Faso,Primary Education,Overall,Overall,0.293905943632126,Public
2003,BFA,bf,Burkina Faso,Secondary Education,Overall,Overall,0.0947982221841812,Private
2009,BFA,bf,Burkina Faso,Secondary Education,Overall,Overall,0.115115307271481,Private
2014,BFA,bf,Burkina Faso,Secondary Education,Overall,Overall,0.0883260816335678,Private
2003,BFA,bf,Burkina Faso,Secondary Education,Overall,Overall,0.428245365619659,Public
2009,BFA,bf,Burkina Faso,Secondary Education,Overall,Overall,0.413065582513809,Public
2014,BFA,bf,Burkina Faso,Secondary Education,Overall,Overall,0.316707015037537,Public
2003,BFA,bf,Burkina Faso,Tertiary Education,Overall,Overall,0.0390880815684795,Private
2009,BFA,bf,Burkina Faso,Tertiary Education,Overall,Overall,0.0628226846456528,Private
2014,BFA,bf,Burkina Faso,Tertiary Education,Overall,Overall,0.0790205299854279,Private
2003,BFA,bf,Burkina Faso,Tertiary Education,Overall,Overall,0.234059706330299,Public
2009,BFA,bf,Burkina Faso,Tertiary Education,Overall,Overall,0.17657920718193101,Public
2014,BFA,bf,Burkina Faso,Tertiary Education,Overall,Overall,0.272259831428528,Public
2000,CPV,cv,Cabo Verde,No Education,Overall,Overall,0.0684274509549141,Private
2007,CPV,cv,Cabo Verde,No Education,Overall,Overall,0.00140070240013301,Private
2000,CPV,cv,Cabo Verde,No Education,Overall,Overall,0.101708896458149,Public
2007,CPV,cv,Cabo Verde,No Education,Overall,Overall,3.1546846730634e-4,Public
2000,CPV,cv,Cabo Verde,Primary Education,Overall,Overall,0.650460481643677,Private
2007,CPV,cv,Cabo Verde,Primary Education,Overall,Overall,0.522522866725922,Private
2007,CPV,cv,Cabo Verde,Primary Education,Overall,Overall,0.367976456880569,Public
2000,CPV,cv,Cabo Verde,Secondary Education,Overall,Overall,0.246463939547539,Private
2007,CPV,cv,Cabo Verde,Secondary Education,Overall,Overall,0.424879729747772,Private
2000,CPV,cv,Cabo Verde,Secondary Education,Overall,Overall,0.307444512844086,Public
2007,CPV,cv,Cabo Verde,Secondary Education,Overall,Overall,0.459497362375259,Public
2000,CPV,cv,Cabo Verde,Tertiary Education,Overall,Overall,0.0346481315791607,Private
2007,CPV,cv,Cabo Verde,Tertiary Education,Overall,Overall,0.0511966869235039,Private
2000,CPV,cv,Cabo Verde,Tertiary Education,Overall,Overall,0.0720094293355942,Public
2007,CPV,cv,Cabo Verde,Tertiary Education,Overall,Overall,0.172210738062859,Public
2001,CMR,cm,Cameroon,No Education,Overall,Overall,0.0853317677974701,Private
2007,CMR,cm,Cameroon,No Education,Overall,Overall,0.060317125171423,Private
2010,CMR,cm,Cameroon,No Education,Overall,Overall,0.058252427726984,Private
2014,CMR,cm,Cameroon,No Education,Overall,Overall,0.0622360520064831,Private
2001,CMR,cm,Cameroon,No Education,Overall,Overall,0.0364379324018955,Public
2007,CMR,cm,Cameroon,No Education,Overall,Overall,0.0159989092499018,Public
2010,CMR,cm,Cameroon,No Education,Overall,Overall,0.00493827182799578,Public
2014,CMR,cm,Cameroon,No Education,Overall,Overall,0.0161117874085903,Public
2007,CMR,cm,Cameroon,Primary Education,Overall,Overall,0.322845727205276,Private
2010,CMR,cm,Cameroon,Primary Education,Overall,Overall,0.670981645584106,Private
2007,CMR,cm,Cameroon,Primary Education,Overall,Overall,0.0829939171671867,Public
2010,CMR,cm,Cameroon,Primary Education,Overall,Overall,0.320987641811371,Public
2014,CMR,cm,Cameroon,Primary Education,Overall,Overall,0.0553861111402512,Public
2001,CMR,cm,Cameroon,Secondary Education,Overall,Overall,0.111183658242226,Private
2001,CMR,cm,Cameroon,Secondary Education,Overall,Overall,0.19540511071682,Public
2014,CMR,cm,Cameroon,Secondary Education,Overall,Overall,0.473601818084717,Public
2001,CMR,cm,Cameroon,Tertiary Education,Overall,Overall,0.0862264111638069,Private
2007,CMR,cm,Cameroon,Tertiary Education,Overall,Overall,0.096257820725441,Private
2010,CMR,cm,Cameroon,Tertiary Education,Overall,Overall,0.216828480362892,Private
2014,CMR,cm,Cameroon,Tertiary Education,Overall,Overall,0.190880641341209,Private
2007,CMR,cm,Cameroon,Tertiary Education,occupation,Medical workers,1,Private
2010,CMR,cm,Cameroon,Tertiary Education,occupation,Medical workers,1,Private
2014,CMR,cm,Cameroon,Tertiary Education,occupation,Medical workers,0.726889967918396,Private
2007,CMR,cm,Cameroon,Tertiary Education,occupation,Teachers,0.776623368263245,Private
2010,CMR,cm,Cameroon,Tertiary Education,occupation,Teachers,0.818181812763214,Private
2014,CMR,cm,Cameroon,Tertiary Education,occupation,Teachers,0.80938595533371,Private
2007,CMR,cm,Cameroon,Tertiary Education,Overall,Overall,0.370868623256683,Public
2014,CMR,cm,Cameroon,Tertiary Education,Overall,Overall,0.454900294542313,Public
2010,CMR,cm,Cameroon,Tertiary Education,occupation,Medical workers,0.692307710647583,Public
2008,CAF,cf,Central African Republic,No Education,Overall,Overall,0.136313647031784,Private
2008,CAF,cf,Central African Republic,No Education,Overall,Overall,0.0793328583240509,Public
2008,CAF,cf,Central African Republic,Primary Education,Overall,Overall,0.284513026475906,Private
2008,CAF,cf,Central African Republic,Primary Education,Overall,Overall,0.100683607161045,Public
2008,CAF,cf,Central African Republic,Secondary Education,Overall,Overall,0.457631140947342,Private
2008,CAF,cf,Central African Republic,Secondary Education,Overall,Overall,0.533309102058411,Public
2008,CAF,cf,Central African Republic,Tertiary Education,Overall,Overall,0.121542192995548,Private
2008,CAF,cf,Central African Republic,Tertiary Education,Overall,Overall,0.286674439907074,Public
2003,TCD,td,Chad,No Education,Overall,Overall,0.373045891523361,Private
2011,TCD,td,Chad,No Education,Overall,Overall,0.404181718826294,Private
2003,TCD,td,Chad,No Education,Overall,Overall,0.247741043567657,Public
2011,TCD,td,Chad,No Education,Overall,Overall,0.241349205374718,Public
2003,TCD,td,Chad,Primary Education,Overall,Overall,0.247378587722778,Private
2011,TCD,td,Chad,Primary Education,Overall,Overall,0.200778856873512,Private
2003,TCD,td,Chad,Primary Education,Overall,Overall,0.128782331943512,Public
2011,TCD,td,Chad,Primary Education,Overall,Overall,0.1689463108778,Public
2003,TCD,td,Chad,Secondary Education,Overall,Overall,0.300931215286255,Private
2011,TCD,td,Chad,Secondary Education,Overall,Overall,0.241952285170555,Private
2003,TCD,td,Chad,Secondary Education,Overall,Overall,0.423309773206711,Public
2011,TCD,td,Chad,Secondary Education,Overall,Overall,0.263463586568832,Public
2003,TCD,td,Chad,Tertiary Education,Overall,Overall,0.0786442831158638,Private
2011,TCD,td,Chad,Tertiary Education,Overall,Overall,0.153087124228477,Private
2003,TCD,td,Chad,Tertiary Education,industry,Education,0.344033688306808,Private
2003,TCD,td,Chad,Tertiary Education,industry,Health,0.111088454723358,Private
2003,TCD,td,Chad,Tertiary Education,occupation,Medical workers,0,Private
2003,TCD,td,Chad,Tertiary Education,Overall,Overall,0.20016685128212,Public
2011,TCD,td,Chad,Tertiary Education,Overall,Overall,0.32624089717865,Public
2003,TCD,td,Chad,Tertiary Education,industry,Education,0.30521884560585,Public
2003,TCD,td,Chad,Tertiary Education,industry,Health,0.382651627063751,Public
2003,TCD,td,Chad,Tertiary Education,industry,Public Administration,0.17732372879982,Public
2003,TCD,td,Chad,Tertiary Education,occupation,Medical workers,0,Public
2013,COM,km,Comoros,No Education,Overall,Overall,0.29313725233078,Private
2013,COM,km,Comoros,No Education,Overall,Overall,0.057621855288744,Public
2013,COM,km,Comoros,Primary Education,Overall,Overall,0.336290597915649,Private
2013,COM,km,Comoros,Primary Education,Overall,Overall,0.0962967723608017,Public
2013,COM,km,Comoros,Secondary Education,Overall,Overall,0.269923359155655,Private
2013,COM,km,Comoros,Secondary Education,Overall,Overall,0.354173481464386,Public
2013,COM,km,Comoros,Tertiary Education,Overall,Overall,0.100648805499077,Private
2013,COM,km,Comoros,Tertiary Education,industry,Education,0.512728571891785,Private
2013,COM,km,Comoros,Tertiary Education,industry,Health,0.190472766757011,Private
2013,COM,km,Comoros,Tertiary Education,Overall,Overall,0.491907894611359,Public
2013,COM,km,Comoros,Tertiary Education,industry,Core Public Administration,0.510946691036224,Public
2013,COM,km,Comoros,Tertiary Education,industry,Education,0.671092510223389,Public
2013,COM,km,Comoros,Tertiary Education,industry,Health,0.622353553771973,Public
2013,COM,km,Comoros,Tertiary Education,industry,Public Administration,0.502852022647858,Public
2013,COM,km,Comoros,Tertiary Education,industry,Public Safety,0.56795471906662,Public
2013,COM,km,Comoros,Tertiary Education,industry,Social Security,0.310703784227371,Public
2005,COG,cg,Congo,No Education,Overall,Overall,0.0450291410088539,Private
2011,COG,cg,Congo,No Education,Overall,Overall,0.0791165083646774,Private
2005,COG,cg,Congo,No Education,Overall,Overall,0.0159485768526793,Public
2011,COG,cg,Congo,No Education,Overall,Overall,0.0355161614716053,Public
2005,COG,cg,Congo,Primary Education,Overall,Overall,0.16416671872139,Private
2011,COG,cg,Congo,Primary Education,Overall,Overall,0.0880178138613701,Private
2005,COG,cg,Congo,Primary Education,Overall,Overall,0.035182747989893,Public
2011,COG,cg,Congo,Primary Education,Overall,Overall,0.0346279628574848,Public
2005,COG,cg,Congo,Secondary Education,Overall,Overall,0.665045559406281,Private
2011,COG,cg,Congo,Secondary Education,Overall,Overall,0.663288354873657,Private
2005,COG,cg,Congo,Secondary Education,Overall,Overall,0.624189913272858,Public
2011,COG,cg,Congo,Secondary Education,Overall,Overall,0.531647086143494,Public
2005,COG,cg,Congo,Tertiary Education,Overall,Overall,0.125758588314056,Private
2011,COG,cg,Congo,Tertiary Education,Overall,Overall,0.169577345252037,Private
2005,COG,cg,Congo,Tertiary Education,Overall,Overall,0.324678778648376,Public
2011,COG,cg,Congo,Tertiary Education,Overall,Overall,0.398208796977997,Public
2004,COD,cd,Dem. Rep. Congo,No Education,Overall,Overall,0.0675037056207657,Private
2012,COD,cd,Dem. Rep. Congo,No Education,Overall,Overall,0.0954114720225334,Private
2004,COD,cd,Dem. Rep. Congo,No Education,Overall,Overall,0.021461134776473,Public
2012,COD,cd,Dem. Rep. Congo,No Education,Overall,Overall,0.0361707136034966,Public
2004,COD,cd,Dem. Rep. Congo,Primary Education,Overall,Overall,0.33224681019783,Private
2012,COD,cd,Dem. Rep. Congo,Primary Education,Overall,Overall,0.191065728664398,Private
2004,COD,cd,Dem. Rep. Congo,Primary Education,Overall,Overall,0.157935991883278,Public
2012,COD,cd,Dem. Rep. Congo,Primary Education,Overall,Overall,0.12987095117569,Public
2004,COD,cd,Dem. Rep. Congo,Secondary Education,Overall,Overall,0.453979551792145,Private
2012,COD,cd,Dem. Rep. Congo,Secondary Education,Overall,Overall,0.46483901143074,Private
2004,COD,cd,Dem. Rep. Congo,Secondary Education,Overall,Overall,0.626304030418396,Public
2012,COD,cd,Dem. Rep. Congo,Secondary Education,Overall,Overall,0.503438830375671,Public
2004,COD,cd,Dem. Rep. Congo,Tertiary Education,Overall,Overall,0.146269932389259,Private
2012,COD,cd,Dem. Rep. Congo,Tertiary Education,Overall,Overall,0.248683795332909,Private
2004,COD,cd,Dem. Rep. Congo,Tertiary Education,Overall,Overall,0.194298833608627,Public
2012,COD,cd,Dem. Rep. Congo,Tertiary Education,Overall,Overall,0.330519497394562,Public
2009,SWZ,sz,Eswatini,No Education,Overall,Overall,0.102123312652111,Private
2016,SWZ,sz,Eswatini,No Education,Overall,Overall,0.0596772842109203,Private
2009,SWZ,sz,Eswatini,No Education,Overall,Overall,0.0318059325218201,Public
2016,SWZ,sz,Eswatini,No Education,Overall,Overall,0.0115289315581322,Public
2009,SWZ,sz,Eswatini,Primary Education,Overall,Overall,0.251681178808212,Private
2016,SWZ,sz,Eswatini,Primary Education,Overall,Overall,0.303971350193024,Private
2009,SWZ,sz,Eswatini,Primary Education,Overall,Overall,0.169394880533218,Public
2016,SWZ,sz,Eswatini,Primary Education,Overall,Overall,0.10113050788641,Public
2009,SWZ,sz,Eswatini,Secondary Education,Overall,Overall,0.544656693935394,Private
2016,SWZ,sz,Eswatini,Secondary Education,Overall,Overall,0.563195943832397,Private
2009,SWZ,sz,Eswatini,Secondary Education,Overall,Overall,0.425845772027969,Public
2016,SWZ,sz,Eswatini,Secondary Education,Overall,Overall,0.386556833982468,Public
2009,SWZ,sz,Eswatini,Tertiary Education,Overall,Overall,0.101538807153702,Private
2016,SWZ,sz,Eswatini,Tertiary Education,Overall,Overall,0.07315544039011,Private
2009,SWZ,sz,Eswatini,Tertiary Education,Overall,Overall,0.372953414916992,Public
2016,SWZ,sz,Eswatini,Tertiary Education,Overall,Overall,0.50078374147415206,Public
2003,ETH,et,Ethiopia,No Education,Overall,Overall,0.272717535495758,Private
2004,ETH,et,Ethiopia,No Education,Overall,Overall,0.288114994764328,Private
2006,ETH,et,Ethiopia,No Education,Overall,Overall,0.256828725337982,Private
2009,ETH,et,Ethiopia,No Education,Overall,Overall,0.215990647673607,Private
2010,ETH,et,Ethiopia,No Education,Overall,Overall,0.1914202272892,Private
2011,ETH,et,Ethiopia,No Education,Overall,Overall,0.187010690569878,Private
2012,ETH,et,Ethiopia,No Education,Overall,Overall,0.162240594625473,Private
2013,ETH,et,Ethiopia,No Education,Overall,Overall,0.224722400307655,Private
2014,ETH,et,Ethiopia,No Education,Overall,Overall,0.142873033881187,Private
2015,ETH,et,Ethiopia,No Education,Overall,Overall,0.127520740032196,Private
2016,ETH,et,Ethiopia,No Education,Overall,Overall,0.125824555754662,Private
2000,ETH,et,Ethiopia,No Education,Overall,Overall,0.133172407746315,Public
2003,ETH,et,Ethiopia,No Education,Overall,Overall,0.0517956838011742,Public
2004,ETH,et,Ethiopia,No Education,Overall,Overall,0.0832178518176079,Public
2006,ETH,et,Ethiopia,No Education,Overall,Overall,0.0417886078357697,Public
2009,ETH,et,Ethiopia,No Education,Overall,Overall,0.0537922345101833,Public
2010,ETH,et,Ethiopia,No Education,Overall,Overall,0.0488525107502937,Public
2011,ETH,et,Ethiopia,No Education,Overall,Overall,0.0398600772023201,Public
2012,ETH,et,Ethiopia,No Education,Overall,Overall,0.0328430905938149,Public
2013,ETH,et,Ethiopia,No Education,Overall,Overall,0.047761682420969,Public
2014,ETH,et,Ethiopia,No Education,Overall,Overall,0.023785587400198,Public
2015,ETH,et,Ethiopia,No Education,Overall,Overall,0.0215857215225697,Public
2016,ETH,et,Ethiopia,No Education,Overall,Overall,0.0216458011418581,Public
2003,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.438497275114059,Private
2004,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.3968465924263,Private
2005,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.367000490427017,Private
2006,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.409637033939362,Private
2009,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.405886143445969,Private
2010,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.39630851149559,Private
2011,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.404099553823471,Private
2012,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.394069492816925,Private
2013,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.376617074012756,Private
2014,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.390325665473938,Private
2015,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.39069402217865,Private
2016,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.395971924066544,Private
2000,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.189664974808693,Public
2003,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.188977718353271,Public
2004,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.191672116518021,Public
2005,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.201838999986649,Public
2006,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.163890525698662,Public
2009,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.143202036619186,Public
2010,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.122912012040615,Public
2011,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.119273938238621,Public
2012,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.117838241159916,Public
2013,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.0831015557050705,Public
2014,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.110326603055,Public
2015,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.0972105488181114,Public
2016,ETH,et,Ethiopia,Primary Education,Overall,Overall,0.0923121646046638,Public
2003,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.240135461091995,Private
2004,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.263902842998505,Private
2005,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.147396102547646,Private
2006,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.265049964189529,Private
2009,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.278262257575989,Private
2010,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.294170200824738,Private
2011,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.272449761629105,Private
2012,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.282309621572495,Private
2013,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.270284682512283,Private
2014,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.293137431144714,Private
2015,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.297464489936829,Private
2016,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.303635209798813,Private
2003,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.498473286628723,Public
2004,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.480291128158569,Public
2005,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.250383406877518,Public
2006,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.437366276979446,Public
2009,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.342347383499146,Public
2010,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.300275146961212,Public
2011,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.25503733754158,Public
2012,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.244404345750809,Public
2013,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.35366815328598,Public
2014,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.208778709173203,Public
2015,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.207700982689857,Public
2016,ETH,et,Ethiopia,Secondary Education,Overall,Overall,0.185632452368736,Public
2000,ETH,et,Ethiopia,Tertiary Education,Overall,Overall,7.528465357609e-4,Private
2003,ETH,et,Ethiopia,Tertiary Education,Overall,Overall,0.0486497208476067,Private
2004,ETH,et,Ethiopia,Tertiary Education,Overall,Overall,0.0511355474591255,Private
2005,ETH,et,Ethiopia,Tertiary Education,Overall,Overall,0.05213288590312,Private
2006,ETH,et,Ethiopia,Tertiary Education,Overall,Overall,0.0684842690825462,Private
2009,ETH,et,Ethiopia,Tertiary Education,Overall,Overall,0.0998609662055969,Private
2010,ETH,et,Ethiopia,Tertiary Education,Overall,Overall,0.118101067841053,Private
2011,ETH,et,Ethiopia,Tertiary Education,Overall,Overall,0.136440008878708,Private
